Vehicle_ID,P95_Accel_Horizontal,P95_Gyro,High_Gyro_Rate,P95_Accel_Horizontal_Score,P95_Gyro_Score,High_Gyro_Rate_Score,Inspection_Score,Inspection_Rank
V23,0.6345114859033808,32.72210234356505,0.07387387387387387,9.655172413793103,10.0,9.310344827586206,9.655172413793103,1
V14,0.6413398514503666,28.535119858923544,0.06278026905829596,10.0,8.620689655172413,6.8965517241379315,8.505747126436782,2
V19,0.568607199733683,27.902086785224924,0.0748663101604278,7.586206896551724,8.275862068965518,9.655172413793103,8.505747126436782,2
V06,0.595013351331803,30.865425112644385,0.06407766990291262,8.275862068965518,9.655172413793103,7.586206896551724,8.50574712643678,4
V03,0.609615347757779,28.91192737268645,0.06496062992125984,8.620689655172413,8.96551724137931,7.931034482758621,8.50574712643678,4
V01,0.49490740027825825,29.44511054032575,0.06557377049180328,7.241379310344827,9.310344827586206,8.275862068965518,8.275862068965516,6
V12,0.6204176337205459,25.496724206858836,0.06666666666666667,8.96551724137931,7.241379310344827,8.620689655172413,8.275862068965516,6
V15,0.4636598212426379,27.839499832244798,0.0709812108559499,6.551724137931034,7.931034482758621,8.96551724137931,7.816091954022988,8
V24,0.6232409288415454,14.846746112978085,0.06009615384615385,9.310344827586206,6.206896551724138,6.206896551724138,7.241379310344828,9
V25,0.48724211131837586,20.32609209999283,0.06378132118451026,6.8965517241379315,6.8965517241379315,7.241379310344827,7.011494252873564,10
V02,0.3804856921945646,16.350468756593536,0.0835214446952596,3.793103448275862,6.551724137931034,10.0,6.781609195402299,11
V20,0.5906587348153997,9.550002725219352,0.05526315789473684,7.931034482758621,5.517241379310345,5.517241379310345,6.32183908045977,12
V13,0.4556728353531486,11.39325447632104,0.060324825986078884,5.862068965517241,5.862068965517241,6.551724137931034,6.091954022988506,13
V04,0.3803650328109273,25.854231212345493,0.05894736842105263,3.4482758620689657,7.586206896551724,5.862068965517241,5.6321839080459775,14
V17,0.4562028966540184,7.5628037560271455,0.0502283105022831,6.206896551724138,5.172413793103448,4.827586206896552,5.402298850574713,15
V27,0.43358267427243613,7.478511759698345,0.04918032786885246,5.172413793103448,4.827586206896552,4.482758620689655,4.827586206896552,16
V21,0.4014643198491368,7.323238417427254,0.05104408352668213,4.482758620689655,4.482758620689655,5.172413793103448,4.712643678160919,17
V07,0.42145613981673685,6.641509103354765,0.04329004329004329,4.827586206896552,3.4482758620689657,4.137931034482759,4.137931034482759,18
V08,0.44166749769030794,6.62214087701872,0.0407725321888412,5.517241379310345,3.103448275862069,3.4482758620689657,4.022988505747127,19
V10,0.380508090815893,6.981749172786738,0.0411522633744856,4.137931034482759,4.137931034482759,3.793103448275862,4.022988505747127,19
V16,0.20363261787526715,6.702771559636737,0.037037037037037035,2.7586206896551726,3.793103448275862,2.7586206896551726,3.103448275862069,21
V26,0.1966144140500513,6.238840283148706,0.038461538461538464,2.413793103448276,2.413793103448276,3.103448275862069,2.6436781609195403,22
V30,0.3422267873477534,6.153017261403979,0.0343980343980344,3.103448275862069,1.7241379310344829,2.413793103448276,2.413793103448276,23
V28,0.17632807172163859,6.017577971304618,0.03058823529411765,2.0689655172413794,1.3793103448275863,1.7241379310344829,1.7241379310344829,24
V05,0.1427512286748554,6.4577224766785974,0.03112033195020747,0.0,2.7586206896551726,2.0689655172413794,1.6091954022988506,25
V29,0.16324514516461683,6.2070718916812195,0.027303754266211604,1.3793103448275863,2.0689655172413794,1.0344827586206897,1.4942528735632186,26
V18,0.16514477283145776,5.959823717697074,0.03,1.7241379310344829,1.0344827586206897,1.3793103448275863,1.3793103448275863,27
V09,0.16097979153533548,5.769171868057985,0.015730337078651686,1.0344827586206897,0.0,0.3448275862068966,0.4597701149425288,28
V11,0.15213920090517064,5.917986583075848,0.014005602240896359,0.6896551724137931,0.6896551724137931,0.0,0.4597701149425288,28
V22,0.14686847252516386,5.842386475044534,0.021834061135371178,0.3448275862068966,0.3448275862068966,0.6896551724137931,0.4597701149425288,28
