Driver_ID,Trip_Count,Speed_Risk,Acceleration_Risk,Manoeuvring_Risk,Risk_Score,Mean_P95_Speed,Mean_Extreme_Speed_Rate,Mean_P95_Horizontal_Accel,Mean_P95_Gyro,Mean_Extreme_Gyro_Rate
D06,15,9.137931034482758,9.310344827586206,9.827586206896552,9.425287356321839,47.423333333333325,0.04915076480253958,0.5334363500158336,20.86603164412038,0.021788482834994464
D14,15,9.827586206896552,9.655172413793103,8.448275862068964,9.310344827586206,47.68999999999999,0.0540448979174965,0.5554817007341413,19.815153429539446,0.018146372075400208
D03,15,8.275862068965518,10.0,8.620689655172413,8.96551724137931,44.426666666666655,0.023971469027670576,0.5639855112450066,20.580739042114338,0.0165198727911643
D23,15,9.827586206896552,8.96551724137931,7.931034482758621,8.908045977011495,48.97833333333333,0.05294083694083694,0.5264030916224299,20.12555772140823,0.014223226049313005
D19,15,8.620689655172413,8.275862068965518,9.137931034482758,8.678160919540229,46.18966666666666,0.03779799243213877,0.4785933785887469,20.25335230706923,0.01914479377894012
D12,15,7.931034482758621,7.931034482758621,8.793103448275861,8.218390804597702,43.56966666666666,0.022208366009179015,0.45900256303982595,18.392142585293666,0.022511797145943487
D24,15,9.137931034482758,8.620689655172413,5.172413793103448,7.643678160919539,47.519999999999996,0.047227763614964745,0.5154735281169409,15.87936209691148,0.010337507823896207
D01,15,6.551724137931035,6.8965517241379315,7.586206896551724,7.011494252873564,38.05499999999999,0.0030303030303030303,0.3980552927005395,16.79822912632347,0.016760356512520162
D13,15,6.637931034482758,5.862068965517241,7.413793103448276,6.637931034482759,37.989,0.0033333333333333335,0.36166088034373317,14.91215406919971,0.020944968912448583
D20,15,3.5344827586206895,7.586206896551724,6.896551724137931,6.0057471264367805,37.160333333333334,0.0,0.44769400596103764,16.04423384416241,0.015980761723515348
D17,15,6.120689655172414,7.241379310344827,4.482758620689655,5.948275862068965,38.926,0.0018018018018018018,0.4126879060175572,11.76785087598601,0.01076923076923077
D25,15,2.844827586206897,6.551724137931034,6.724137931034482,5.373563218390804,36.217,0.0,0.37139909290938555,16.329604857611102,0.013682785775809031
D15,15,4.56896551724138,5.517241379310345,5.862068965517242,5.31609195402299,36.06133333333333,0.0020833333333333333,0.35565203374826443,18.81651233627054,0.007515432098765432
D04,15,5.603448275862069,4.137931034482759,6.206896551724139,5.31609195402299,37.27066666666666,0.0020833333333333333,0.31152652234326716,19.750735249420305,0.007853535353535354
D10,15,5.172413793103448,5.172413793103448,5.0,5.114942528735632,35.21466666666666,0.0038095238095238095,0.3415928148819173,11.38714034027141,0.013230658230658231
D07,15,6.293103448275862,3.4482758620689657,5.0,4.913793103448276,37.70466666666666,0.0033333333333333335,0.29392782345945156,12.796807373198922,0.012071172555043523
D21,15,5.948275862068965,4.482758620689655,3.9655172413793105,4.798850574712643,38.251666666666665,0.0018018018018018018,0.33454187455943185,13.385475080823126,0.005303485303485304
D27,15,5.0,3.793103448275862,5.344827586206897,4.712643678160919,36.951,0.0018518518518518517,0.3101346094476392,13.13326499293419,0.012871969119108706
D30,15,5.862068965517242,3.103448275862069,4.310344827586207,4.42528735632184,36.727333333333334,0.004817204301075269,0.2767566189388527,9.52749807374134,0.01139961430962272
D08,15,5.172413793103448,6.206896551724138,1.896551724137931,4.42528735632184,37.84066666666667,0.0017094017094017094,0.369303982230926,8.115017349083494,0.00509448472863107
D02,15,3.1896551724137927,4.827586206896552,4.827586206896552,4.281609195402299,36.797666666666665,0.0,0.33812296140111964,15.963141714552533,0.006666666666666667
D28,15,0.9482758620689655,1.0344827586206897,5.689655172413793,2.557471264367816,29.368333333333332,0.0,0.17171406252249835,8.755697862411791,0.01854520817935452
D16,15,1.8103448275862069,2.7586206896551726,1.6379310344827587,2.0689655172413794,32.836,0.0,0.22437668466017702,8.970269905049747,0.0
D26,15,1.9827586206896552,1.7241379310344829,1.896551724137931,1.8678160919540232,32.879,0.0,0.19484902909481686,8.613277654228883,0.0036701860231271996
D29,15,2.3275862068965516,2.413793103448276,0.8620689655172414,1.8678160919540228,34.32899999999999,0.0,0.19700310079325423,6.658694394043089,0.0014814814814814816
D18,15,1.4655172413793105,1.3793103448275863,1.896551724137931,1.5804597701149425,31.921666666666667,0.0,0.19397410638949636,8.56452632812361,0.005047619047619047
D09,15,2.155172413793103,2.0689655172413794,0.5172413793103449,1.5804597701149425,33.291000000000004,0.0,0.1957953696388202,5.440437839991658,0.00196078431372549
D22,15,1.293103448275862,0.3448275862068966,1.896551724137931,1.1781609195402298,30.428333333333335,0.0,0.1603007011537815,6.752506179073551,0.005128205128205128
D11,15,1.6379310344827587,0.0,1.7241379310344827,1.1206896551724137,32.46333333333333,0.0,0.1563107045591954,5.958358941864509,0.006421356421356422
D05,15,1.1206896551724137,0.6896551724137931,0.4310344827586207,0.7471264367816092,29.996666666666666,0.0,0.16878978361384583,5.983995891385221,0.0
